staff_id	first_name	last_name	address_id	email	store_id	active	username	password	last_update	picture
0	Tisha	DuBuque	28	schneider9987@rosenbaumreichert.com	23	t	sina.corkery	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
1	Warner	Hudson	45	hartmann1448@ratkehaley.com	25	t	fay.kub	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
2	Lavone	O'Reilly	6	mclaughlin3045@kleinwisokyandswaniawski.com	33	t	gaston.wuckert	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
3	Louie	Walter	28	ondricka8612@baileykeebler.com	18	t	lewis.damore	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
4	Domenica	Armstrong	8	walsh2658@corkeryinc.com	3	t	jannette.effertz	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
5	Adah	Leuschke	20	fritsch2775@rempelsanfordandprice.com	17	t	rona.wolf	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
6	Theo	Harber	25	dickinson5918@hermanreynoldsandsatterfield.com	1	t	patrick.hudson	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
7	Lavenia	Toy	18	schiller1207@bradtkewatersandkeebler.com	24	t	natisha.pfannerstill	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
8	Dillon	Pfannerstill	12	feest4324@jenkinshomenick.com	7	t	shantae.grady	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
9	Lavonia	Considine	34	balistreri1812@rennerandsons.com	33	t	karl.little	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
10	Javier	Tromp	37	ondricka8711@terryandsons.com	33	t	valentin.yundt	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
11	Demetrius	Price	33	cronin4447@kihnpouros.com	33	t	warner.herman	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
12	Exie	Zieme	36	torphy171@monahanwill.com	29	t	takisha.johnson	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
13	Keli	Kunde	16	feeney3290@fritschwillandprice.com	23	t	makeda.abernathy	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
14	Ismael	Beatty	20	ohara5149@cummerataandsons.com	36	t	erlinda.kuhn	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
15	Wendie	Cummerata	9	swaniawski5800@mosciskiinc.com	35	t	carson.schinner	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
16	Nell	Schmidt	12	swift7883@greenholtwolffanddietrich.com	35	t	sol.walsh	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
17	Jeffry	Herman	10	dibbert8844@kuvalisheaney.com	31	t	stephania.friesen	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
18	Elvin	Goldner	24	wiegand8454@carterandsons.com	19	t	cedric.beer	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
19	Kisha	Wiegand	36	williamson1919@lynchkris.com	17	t	babette.marvin	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
20	Lionel	Botsford	22	zieme7481@ondrickacreminandoconnell.com	26	t	herb.buckridge	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
21	Isreal	Ryan	7	sporer5957@hickledibbert.com	25	t	nestor.schmeler	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
22	Jonathan	Bogisich	36	veum9366@stantongroup.com	29	t	danyel.glover	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
23	Orville	Gottlieb	2	emmerich7529@lueilwitzandsons.com	13	t	gala.auer	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
24	Loyce	Spencer	31	kovacek4641@hauckwolfandrodriguez.com	23	t	roxann.dooley	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
25	Tashina	Pfannerstill	4	hansen6265@bogandickens.com	31	t	lilla.gutmann	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
26	Corinne	Bayer	45	bosco9017@cruickshankgroup.com	15	t	cinda.kunze	8cb2237d0679ca88db6464eac60da96345513964	2022-05-16 15:13:11.79328+00	\N
